ID,登録日時,本名,メールアドレス,生年月日,年齢,性別,現在の学年
00000001,2025/06/24 16:11:20,a,a@a.a,2005/06/24,20,男性,高校3年
00000002,2025/06/24 16:15:02,s,s@s.s,2005/06/24,20,男性,高校3年
00000003,2025/06/24 16:16:33,y,y@y.y,2005/06/24,20,男性,大学1年
00000004,2025/06/24 16:17:45,a,a@a.a,2005/06/24,20,男性,高校1年
00000005,2025/06/24 16:19:12,ss,ss@ss.ss,2005/06/24,20,男性,高校2年
00000006,2025/06/24 16:20:56,g,g@g.g,2005/06/24,20,男性,高校3年
00000007,2025/06/24 16:21:41,d,d@d.d,2005/06/24,20,男性,高校3年
00000008,2025/06/24 16:23:20,k,k@k.k,2005/06/24,20,男性,高校1年
00000009,2025/06/24 16:24:43,aaa,aaa@aa.aa,2001/06/24,20,男性,高校1年
00000010,2025/06/24 16:33:28,s,s@s.s,2004/06/24,18,男性,高校1年
00000011,2025/06/24 16:36:02,j,j@j.j,2005/06/24,20,男性,大学1年
00000012,2025/06/24 16:36:48,r,r@r.r,2005/06/24,20,男性,大学院修士2年
00000013,2025/06/24 16:37:19,e,e@e.e,2005/06/24,20,男性,大学院修士2年
00000014,2025/06/24 16:40:09,hh,hh@hh.hh,2005/06/24,16,男性,高校2年
00000015,2025/06/24 16:41:38,l,l@l.l,2005/06/24,20,男性,高校1年
00000016,2025/06/24 16:42:53,df,df@df.df,1998/06/24,20,男性,大学4年
00000017,2025/06/24 16:43:51,gf,gf@gf.gf,2005/06/24,20,男性,大学2年
00000018,2025/06/24 16:44:35,po,o@o.o,2004/06/24,18,男性,高校1年
00000019,2025/06/24 16:45:56,rr,rr@rr.rr,1998/06/24,20,男性,高校1年
00000020,2025/06/24 16:48:30,hg,hg@hg.hg,2005/06/24,20,男性,高校1年
00000021,2025/06/24 16:50:12,jk,jk@jk.jk,2003/06/24,18,男性,高校1年
